state,county,year_short,candidate_votes,party,county_fips,year
ALABAMA,LAUDERDALE,2020,31721,REPUBLICAN,01077,1970-01-01 00:00:00.000002020
ALABAMA,LAWRENCE,2000,6296,DEMOCRAT,01079,1970-01-01 00:00:00.000002000
ALABAMA,LAWRENCE,2004,7730,REPUBLICAN,01079,1970-01-01 00:00:00.000002004
ALABAMA,LAWRENCE,2008,9277,REPUBLICAN,01079,1970-01-01 00:00:00.000002008
ALABAMA,LAWRENCE,2012,8874,REPUBLICAN,01079,1970-01-01 00:00:00.000002012
ALABAMA,LAWRENCE,2016,10833,REPUBLICAN,01079,1970-01-01 00:00:00.000002016
ALABAMA,LAWRENCE,2020,12322,REPUBLICAN,01079,1970-01-01 00:00:00.000002020
ALABAMA,LEE,2000,22433,REPUBLICAN,01081,1970-01-01 00:00:00.000002000
ALABAMA,LEE,2004,27972,REPUBLICAN,01081,1970-01-01 00:00:00.000002004
ALABAMA,LEE,2008,32230,REPUBLICAN,01081,1970-01-01 00:00:00.000002008
ALABAMA,LEE,2012,32194,REPUBLICAN,01081,1970-01-01 00:00:00.000002012
ALABAMA,LEE,2016,34617,REPUBLICAN,01081,1970-01-01 00:00:00.000002016
ALABAMA,LEE,2020,42221,REPUBLICAN,01081,1970-01-01 00:00:00.000002020
ALABAMA,LIMESTONE,2000,14204,REPUBLICAN,01083,1970-01-01 00:00:00.000002000
ALABAMA,LIMESTONE,2004,19702,REPUBLICAN,01083,1970-01-01 00:00:00.000002004
ALABAMA,LIMESTONE,2008,23598,REPUBLICAN,01083,1970-01-01 00:00:00.000002008
ALABAMA,LIMESTONE,2012,25295,REPUBLICAN,01083,1970-01-01 00:00:00.000002012
ALABAMA,LIMESTONE,2016,29067,REPUBLICAN,01083,1970-01-01 00:00:00.000002016
ALABAMA,LIMESTONE,2020,34640,REPUBLICAN,01083,1970-01-01 00:00:00.000002020
ALABAMA,LOWNDES,2000,4557,DEMOCRAT,01085,1970-01-01 00:00:00.000002000
ALABAMA,LOWNDES,2004,4233,DEMOCRAT,01085,1970-01-01 00:00:00.000002004
ALABAMA,LOWNDES,2008,5449,DEMOCRAT,01085,1970-01-01 00:00:00.000002008
ALABAMA,LOWNDES,2012,5747,DEMOCRAT,01085,1970-01-01 00:00:00.000002012
ALABAMA,LOWNDES,2016,4883,DEMOCRAT,01085,1970-01-01 00:00:00.000002016
ALABAMA,LOWNDES,2020,4972,DEMOCRAT,01085,1970-01-01 00:00:00.000002020
ALABAMA,MACON,2000,7665,DEMOCRAT,01087,1970-01-01 00:00:00.000002000
ALABAMA,MACON,2004,7800,DEMOCRAT,01087,1970-01-01 00:00:00.000002004
ALABAMA,MACON,2008,9450,DEMOCRAT,01087,1970-01-01 00:00:00.000002008
ALABAMA,MACON,2012,9045,DEMOCRAT,01087,1970-01-01 00:00:00.000002012
ALABAMA,MACON,2016,7566,DEMOCRAT,01087,1970-01-01 00:00:00.000002016
ALABAMA,MACON,2020,7108,DEMOCRAT,01087,1970-01-01 00:00:00.000002020
ALABAMA,MADISON,2000,62151,REPUBLICAN,01089,1970-01-01 00:00:00.000002000
ALABAMA,MADISON,2004,77173,REPUBLICAN,01089,1970-01-01 00:00:00.000002004
ALABAMA,MADISON,2008,86965,REPUBLICAN,01089,1970-01-01 00:00:00.000002008
ALABAMA,MADISON,2012,90884,REPUBLICAN,01089,1970-01-01 00:00:00.000002012
ALABAMA,MADISON,2016,89520,REPUBLICAN,01089,1970-01-01 00:00:00.000002016
ALABAMA,MADISON,2020,102780,REPUBLICAN,01089,1970-01-01 00:00:00.000002020
ALABAMA,MARENGO,2000,4841,DEMOCRAT,01091,1970-01-01 00:00:00.000002000
ALABAMA,MARENGO,2004,5255,REPUBLICAN,01091,1970-01-01 00:00:00.000002004
ALABAMA,MARENGO,2008,5926,DEMOCRAT,01091,1970-01-01 00:00:00.000002008
ALABAMA,MARENGO,2012,6167,DEMOCRAT,01091,1970-01-01 00:00:00.000002012
ALABAMA,MARENGO,2016,5615,DEMOCRAT,01091,1970-01-01 00:00:00.000002016
ALABAMA,MARENGO,2020,5488,DEMOCRAT,01091,1970-01-01 00:00:00.000002020
ALABAMA,MARION,2000,6910,REPUBLICAN,01093,1970-01-01 00:00:00.000002000
ALABAMA,MARION,2004,8983,REPUBLICAN,01093,1970-01-01 00:00:00.000002004
ALABAMA,MARION,2008,9536,REPUBLICAN,01093,1970-01-01 00:00:00.000002008
ALABAMA,MARION,2012,9697,REPUBLICAN,01093,1970-01-01 00:00:00.000002012
ALABAMA,MARION,2016,11274,REPUBLICAN,01093,1970-01-01 00:00:00.000002016
ALABAMA,MARION,2020,12205,REPUBLICAN,01093,1970-01-01 00:00:00.000002020
ALABAMA,MARSHALL,2000,17084,REPUBLICAN,01095,1970-01-01 00:00:00.000002000
ALABAMA,MARSHALL,2004,22783,REPUBLICAN,01095,1970-01-01 00:00:00.000002004
ALABAMA,MARSHALL,2008,25727,REPUBLICAN,01095,1970-01-01 00:00:00.000002008
